Line Name,End 1 Bus Name,End 2 Bus Name,In Service,Resistance (pu),Reactance (pu),Susceptance (pu),Actual Capacity (MW),Maximum Angle Limit (degree),B,Nature of Line,,,,Thermal Limit (MVA),Angle Limit,Anlge Limiting,Thermal Limit,,,,,,,,
L80,N_4334,N_4332,1,0.00328548,0.035670928,0.262838413,900,35,-28.03403413,AC,,3,3,900,1467.858595, ,900,1,,,,,,,
L81,N_4307,N_4305,1,2.20959E-05,0.000239898,0.001767672,900,35,-4168.433434,AC,,3,3,900,218258.6642, ,900,1,,,,,,,
L82,N_4306,N_4307,1,0.00037053,0.0040229,0.029642421,900,35,-248.5768974,AC,,3,3,900,13015.45591, ,900,1,,,,,,,
L83,N_4302,N_4307,1,0.00059785,0.006490938,0.047827966,900,35,-154.0609324,AC,,3,3,900,8066.611557, ,900,1,,,,,,,
L84,N_4302,N_4307,1,0.00059785,0.006490938,0.047827966,900,35,-154.0609324,AC,,3,3,900,8066.611557, ,900,1,,,,,,,
L85,N_4308,N_4307,1,0.000494533,0.005369219,0.039562664,900,35,-186.2468363,AC,,3,3,900,9751.861547, ,900,1,,,,,,,
L86,N_4308,N_4310,1,0.000469061,0.005092664,0.037524894,900,35,-196.3608734,AC,,3,3,900,10281.43129, ,900,1,,,,,,,
L87,N_4232,N_4332,1,0,0.017241379,0,1000,35,-58,AC,,2,3,1000,3036.872898, ,1000,1,,,,,,,
L88,N_4232,N_4332,1,0,0.017241379,0,1000,35,-58,AC,,2,3,1000,3036.872898, ,1000,1,,,,,,,
L89,N_4211,N_4311,1,0,0.017241379,0,1000,35,-58,AC,,2,3,1000,3036.872898, ,1000,1,,,,,,,
L90,N_4211,N_4311,1,0,0.017241379,0,1000,35,-58,AC,,2,3,1000,3036.872898, ,1000,1,,,,,,,
L91,N_4232,N_4932,1,0,0.00539499,0,3000,35,-185.3571429,AC,,2,9,3000,9705.277305, ,3000,1,,Braemar PS,N_4932,1038,1,1297.5,0.00539499
L92,N_4232,N_4942,1,0,0.008695652,0,3000,35,-115,AC,,2,9,3000,6021.385919, ,3000,1,,Darling Downs PS,N_4942,644,1,805,0.008695652
L93,N_4350,N_4950,1,0,0.003060109,0,3000,35,-326.7857143,AC,,3,9,3000,17110.45999, ,3000,1,,Callide PS,N_4950,1830,1,2287.5,0.003060109
L94,N_4352,N_4952,1,0,0.003274854,0,3000,35,-305.3571429,AC,,3,9,3000,15988.46261, ,3000,1,,Gladstone PS,N_4952,1710,1,2137.5,0.003274854
L95,N_4330,N_4930,1,0,0.008974359,0,3000,35,-111.4285714,AC,,3,9,3000,5834.386357, ,3000,1,,Wivenhoe PS,N_4930,624,1,780,0.008974359
L96,N_4311,N_4911,1,0,0.016184971,0,3000,35,-61.78571429,AC,,3,9,3000,3235.092435, ,3000,1,,Oakey PS,N_4911,346,1,432.5,0.016184971
L97,N_4221,N_4921,1,0,0.006222222,0,3000,35,-160.7142857,AC,,2,9,3000,8414.980322, ,3000,1,,Millmerran PS,N_4921,900,1,1125,0.006222222
L98,N_4375,N_4975,1,0,0.012641084,0,3000,35,-79.10714286,AC,,3,9,3000,4142.040314, ,3000,1,,Mt Stuart PS,N_4975,443,1,553.75,0.012641084
L99,N_4375,N_4976,1,0,0.021705426,0,3000,35,-46.07142857,AC,,3,9,3000,2412.294359,Swap,2412.294359,0,,Townsville (Yabulu) PS,N_4976,258,1,322.5,0.021705426
L100,N_4305,N_4905,1,0,0.014545455,0,3000,35,-68.75,AC,,3,9,3000,3599.741582, ,3000,1,,Swanbank E PS,N_4905,385,1,481.25,0.014545455
L101,N_4354,N_4954,1,0,0.003636364,0,3000,35,-275,AC,,3,9,3000,14398.96633, ,3000,1,,Stanwell PS,N_4954,1540,1,1925,0.003636364
L102,N_4333,N_4933,1,0,0.003636364,0,3000,35,-275,AC,,3,9,3000,14398.96633, ,3000,1,,Tarong PS,N_4933,1540,1,1925,0.003636364
L103,N_4333,N_4934,1,0,0.011666667,0,3000,35,-85.71428571,AC,,3,9,3000,4487.989505, ,3000,1,,Tarong North PS,N_4934,480,1,600,0.011666667
L104,N_4335,N_4935,1,0,0.012962963,0,3000,35,-77.14285714,AC,,3,9,3000,4039.190555, ,3000,1,,Condamine A PS,N_4935,432,1,540,0.012962963
L105,N_4335,N_4936,1,0,0.007170294,0,3000,35,-139.4642857,AC,,3,9,3000,7302.332924, ,3000,1,,Kogan Creek PS,N_4936,781,1,976.25,0.007170294
L106,N_4352,N_4953,1,0,0.031111111,0,3000,35,-32.14285714,AC,,3,9,3000,1682.996064,Swap,1682.996064,0,,Yarwun PS,N_4953,180,1,225,0.031111111
L107,N_2415,N_2402,1,0.059481694,0.255653109,0.701174938,800,35,-3.911550312,AC,,4,4,800,204.8082954,Swap,204.8082954,0,,,,,,,
L108,N_2402,N_2403,1,0.039568435,0.170065659,0.46643586,800,35,-5.880081876,AC,,4,4,800,307.8803671,Swap,307.8803671,0,,,,,,,
L109,N_2201,N_2202,1,0.001811994,0.013814212,0.169538055,1000,35,-72.38921839,AC,,2,2,1000,3790.290612, ,1000,1,,,,,,,
L110,N_2201,N_2203,1,0.002991701,0.022808019,0.279916601,1000,35,-43.84422802,AC,,2,2,1000,2295.678411, ,1000,1,,,,,,,
L111,N_2202,N_2203,1,0.00164241,0.012521342,0.153671013,1000,35,-79.86364521,AC,,2,2,1000,4181.650685, ,1000,1,,,,,,,
L112,N_2203,N_2214,1,0.004041849,0.030814096,0.378172993,1000,35,-32.45268042,AC,,2,2,1000,1699.218373, ,1000,1,,,,,,,
L113,N_2214,N_2213,1,0.004035463,0.03076541,0.377575487,1000,35,-32.50403618,AC,,2,2,1000,1701.907354, ,1000,1,,,,,,,
L114,N_2214,N_2215,1,0.006135661,0.046776821,0.574079165,1000,35,-21.37810953,AC,,2,2,1000,1119.355197, ,1000,1,,,,,,,
L115,N_2202,N_2209,1,0.006008457,0.045807047,0.5621774,1000,35,-21.83070198,AC,,2,2,1000,1143.052882, ,1000,1,,,,,,,
L116,N_2203,N_2209,1,0.005113736,0.038985911,0.478463455,1000,35,-25.6502919,AC,,2,2,1000,1343.046143, ,1000,1,,,,,,,
L117,N_2202,N_2210,1,0.003951058,0.031478427,0.371899556,1000,35,-31.76778852,AC,,2,2,1000,1663.357518, ,1000,1,,,,,,,
L118,N_2203,N_2210,1,0.004023011,0.030670477,0.370236474,1000,35,-32.60464435,AC,,2,2,1000,1707.175186, ,1000,1,,,,,,,
L119,N_2209,N_2210,1,0.001731346,0.01319937,0.161992265,1000,35,-75.76119289,AC,,2,2,1000,3966.846784, ,1000,1,,,,,,,
