Line Name,End 1 Node Name,End 2 Node Name,R,X,b,Maximum Capacity (MW),B,Nature of Line,,,,
L91,N_4232,N_4932,0,0.014705882,0,3000,-68,AC,,2,9,3000
L92,N_4232,N_4942,0,0.0234375,0,3000,-42.66666667,AC,,2,9,3000
L93,N_4350,N_4950,0,0.017857143,0,3000,-56,AC,,3,9,3000
L94,N_4352,N_4952,0,0.013392857,0,3000,-74.66666667,AC,,3,9,3000
L95,N_4330,N_4930,0,0.03,0,3000,-33.33333333,AC,,3,9,3000
L96,N_4311,N_4911,0,0.05,0,3000,-20,AC,,3,9,3000
L97,N_4221,N_4921,0,0.017857143,0,3000,-56,AC,,2,9,3000
L98,N_4375,N_4975,0,0.022058824,0,3000,-45.33333333,AC,,3,9,3000
L99,N_4375,N_4976,0,0.088235294,0,3000,-11.33333333,AC,,3,9,3000
L100,N_4305,N_4905,0,0.038961039,0,3000,-25.66666667,AC,,3,9,3000
L101,N_4354,N_4954,0,0.010714286,0,3000,-93.33333333,AC,,3,9,3000
L102,N_4333,N_4933,0,0.010714286,0,3000,-93.33333333,AC,,3,9,3000
L103,N_4333,N_4934,0,0.032608696,0,3000,-30.66666667,AC,,3,9,3000
L104,N_4335,N_4935,0,0.075,0,3000,-13.33333333,AC,,3,9,3000
L105,N_4335,N_4936,0,0.019230769,0,3000,-52,AC,,3,9,3000
L106,N_4352,N_4953,0,0.03,0,3000,-33.33333333,AC,,3,9,3000
L107,N_2415,N_2402,0.059481694,0.255653109,0.701174938,800,-3.911550312,AC,,4,4,700
L108,N_2402,N_2403,0.039568435,0.170065659,0.46643586,800,-5.880081876,AC,,4,4,700
L109,N_2201,N_2202,0.001811994,0.013814212,0.169538055,1000,-72.38921839,AC,,2,2,1000
L110,N_2201,N_2203,0.002991701,0.022808019,0.279916601,1000,-43.84422802,AC,,2,2,1000
L111,N_2202,N_2203,0.00164241,0.012521342,0.153671013,1000,-79.86364521,AC,,2,2,1000
L112,N_2203,N_2214,0.004041849,0.030814096,0.378172993,1000,-32.45268042,AC,,2,2,1000
L113,N_2214,N_2213,0.004035463,0.03076541,0.377575487,1000,-32.50403618,AC,,2,2,1000
L114,N_2214,N_2215,0.006135661,0.046776821,0.574079165,1000,-21.37810953,AC,,2,2,1000
L115,N_2202,N_2209,0.006008457,0.045807047,0.5621774,1000,-21.83070198,AC,,2,2,1000
L116,N_2203,N_2209,0.005113736,0.038985911,0.478463455,1000,-25.6502919,AC,,2,2,1000
L117,N_2202,N_2210,0.003951058,0.031478427,0.371899556,1000,-31.76778852,AC,,2,2,1000
L118,N_2203,N_2210,0.004023011,0.030670477,0.370236474,1000,-32.60464435,AC,,2,2,1000
L119,N_2209,N_2210,0.001731346,0.01319937,0.161992265,1000,-75.76119289,AC,,2,2,1000
L120,N_2209,N_2222,0.004629187,0.035291818,0.433126857,1000,-28.33517961,AC,,2,2,1000
L121,N_2209,N_2222,0.004768062,0.036350572,0.446120662,1000,-27.50988311,AC,,2,2,1000
L122,N_2210,N_2211,0.002452025,0.018693658,0.225659159,1000,-53.49407752,AC,,2,2,1000
L123,N_2211,N_2219,0.005354666,0.0408227,0.501005861,1000,-24.49617506,AC,,2,2,1000
L124,N_2219,N_2225,0.001700997,0.012967996,0.159152675,1000,-77.11291862,AC,,2,2,1000
L125,N_2222,N_2224,0.002846739,0.02170286,0.266353279,1000,-46.07687699,AC,,2,2,1000
L126,N_2222,N_2225,0.002873509,0.021906952,0.268858043,1000,-45.64761065,AC,,2,2,1000
L127,N_2225,N_2231,0.001967917,0.019320111,0.282758599,1000,-51.75953603,AC,,2,2,1000
L128,N_2225,N_2224,0.000307987,0.003023677,0.044252881,1000,-330.7231879,AC,,2,2,1000
L129,N_2224,N_2255,0.001395359,0.013698995,0.200491006,1000,-72.99805722,AC,,2,2,1000
L130,N_2255,N_2227,0.000503134,0.00493954,0.072292405,1000,-202.4480154,AC,,2,2,1000
L131,N_2231,N_2227,0.000684669,0.006721764,0.098376062,1000,-148.7704792,AC,,2,2,1000
L132,N_2231,N_2238,0.000398332,0.003394652,2.470227615,1000,-294.5809837,AC,,2,2,1000
L133,N_2231,N_2260,0.000347658,0.004598942,3.334725337,1000,-217.4413391,AC,,2,2,1000
L134,N_2231,N_2239,0.00052393,0.005143702,0.075280415,1000,-194.4125031,AC,,2,2,1000
L135,N_2237,N_2239,0.000473187,0.004645529,0.067989432,1000,-215.2607177,AC,,2,2,1000
L136,N_2237,N_2250,0.000287521,0.002822753,0.041312268,1000,-354.2641137,AC,,2,2,1000
L137,N_2237,N_2250,0.000261383,0.002566139,0.037556607,1000,-389.6905251,AC,,2,2,1000
L138,N_2250,N_2251,0.000204418,0.002704117,1.960774533,1000,-369.8064874,AC,,2,2,1000
L139,N_2250,N_2251,0.000204418,0.002704117,1.960774533,1000,-369.8064874,AC,,2,2,1000
L140,N_2252,N_2231,0.004044287,0.039704965,0.581100181,1000,-25.18576724,AC,,2,2,1000
L141,N_2252,N_2233,0.003497182,0.034333738,0.502489844,1000,-29.12587007,AC,,2,2,1000
L142,N_2233,N_2231,0.000591701,0.005809052,0.085018111,1000,-172.1451319,AC,,2,2,1000
L143,N_2243,N_2242,0.000632919,0.006213713,0.090940511,1000,-160.9343708,AC,,2,2,1000
L144,N_2243,N_2242,0.000632919,0.006213713,0.090940511,1000,-160.9343708,AC,,2,2,1000
L145,N_2243,N_2227,0.001416233,0.013903928,0.2034903,1000,-71.92212049,AC,,2,2,1000
L146,N_2236,N_2237,0.000587099,0.005763874,0.084356914,1000,-173.4944204,AC,,2,2,1000
L147,N_2243,N_2237,0.001049046,0.010299052,0.1507313,1000,-97.09631585,AC,,2,2,1000
L148,N_2266,N_2243,0.002454781,0.024099924,0.352713322,1000,-41.49390731,AC,,2,2,1000
L149,N_2262,N_2248,0.001155335,0.011342551,0.166003387,1000,-88.16358584,AC,,2,2,1000
L150,N_2248,N_2243,0.001780997,0.017485015,0.255901131,1000,-57.19182975,AC,,2,2,1000
L151,N_2266,N_2262,0.000206382,0.002026162,0.029653802,1000,-493.5439255,AC,,2,2,1000
L152,N_2170,N_2127,0.001101931,0.015035529,1.668365387,2500,-66.50913483,AC,,1,1,2500
L153,N_2170,N_2127,0.001101931,0.015035529,1.668365387,2500,-66.50913483,AC,,1,1,2500
L154,N_2270,N_2266,0.000862556,0.008468185,0.123935731,1000,-118.0890591,AC,,2,2,1000
L155,N_2274,N_2270,0.000605911,0.005948553,0.087059773,1000,-168.1081108,AC,,2,2,1000
L156,N_2274,N_2270,0.000582606,0.005719762,0.08371132,1000,-174.8324352,AC,,2,2,1000
L157,N_2270,N_2236,0.003151225,0.030937294,0.452781341,1000,-32.32344745,AC,,2,2,1000
L158,N_2274,N_2266,0.001015043,0.009965233,0.145845702,1000,-100.348887,AC,,2,2,1000
L159,N_2286,N_2285,0.000176101,0.001728878,0.025302919,1000,-578.4097029,AC,,2,2,1000
L160,N_2286,N_2285,0.000176101,0.001728878,0.025302919,1000,-578.4097029,AC,,2,2,1000
L161,N_2185,N_2195,0.000862656,0.011770694,1.306094301,2500,-84.95675877,AC,,1,1,2500
L162,N_2185,N_2153,0.001725535,0.023544425,2.612525619,2500,-42.47289966,AC,,1,1,2500
L163,N_2195,N_2153,0.000863074,0.011776401,1.306727607,2500,-84.91558445,AC,,1,1,2500
L164,N_2153,N_2116,0.001081154,0.014752036,1.636908644,2500,-67.78725181,AC,,1,1,2500
L165,N_2153,N_2116,0.001081154,0.014752036,1.636908644,2500,-67.78725181,AC,,1,1,2500
